DATE,LREM64TTUSM156S
2013-01-01,67.2621287392482
2013-02-01,67.2443006423608
2013-03-01,67.1781808797837
2013-04-01,67.2720844578687
2013-05-01,67.3411457588229
2013-06-01,67.3655064390256
2013-07-01,67.487241955039
2013-08-01,67.4137979735951
2013-09-01,67.4677980655971
2013-10-01,67.1327202189185
2013-11-01,67.4447928884003
2013-12-01,67.5406570051662
2014-01-01,67.7156480637398
2014-02-01,67.6866604368158
2014-03-01,67.9185621107309
2014-04-01,67.9417665190869
2014-05-01,68.0286377279438
2014-06-01,68.1551557720924
2014-07-01,68.1695599077016
2014-08-01,68.224721868494
2014-09-01,68.2791682503403
2014-10-01,68.5774939378895
2014-11-01,68.5141588186758
2014-12-01,68.4838253660761
2015-01-01,68.5485916282188
2015-02-01,68.5384183248571
2015-03-01,68.4306378694236
2015-04-01,68.690661924942
2015-05-01,68.799200273013
2015-06-01,68.6865489974989
2015-07-01,68.633721217565
2015-08-01,68.755411139429
2015-09-01,68.6493393246114
2015-10-01,68.7234009519038
2015-11-01,68.8709920100036
2015-12-01,69.0819305566934
2016-01-01,69.1929492301355
2016-02-01,69.2655082305441
2016-03-01,69.2853831491724
2016-04-01,69.1819753730382
2016-05-01,69.2906563887583
2016-06-01,69.199445415859
2016-07-01,69.2827309491264
2016-08-01,69.3804878299723
2016-09-01,69.4229765675747
2016-10-01,69.4228529516594
2016-11-01,69.5449300761932
2016-12-01,69.5657745592576
2017-01-01,69.6518208085701
2017-02-01,69.7201274368066
2017-03-01,70.014690161475
2017-04-01,70.0984389560599
2017-05-01,70.0105567484146
2017-06-01,70.0984724328136
2017-07-01,70.1723778667464
2017-08-01,70.1462296145246
2017-09-01,70.4711590508511
2017-10-01,70.2553359902101
2017-11-01,70.2874301304576
2017-12-01,70.2824563812926
2018-01-01,70.3265016100025
2018-02-01,70.6069877487393
2018-03-01,70.5605740109868
2018-04-01,70.5848090661009
2018-05-01,70.7373986245276
2018-06-01,70.6986825066781
2018-07-01,70.860768399405
2018-08-01,70.563275161093
2018-09-01,70.7588914892412
2018-10-01,70.918976244768
2018-11-01,70.9786325518397
2018-12-01,70.9982112955684
2019-01-01,71.0245138089569
2019-02-01,71.0489532477874
2019-03-01,71.0809099133458
2019-04-01,71.1533768004182
2019-05-01,71.148327103884
2019-06-01,71.2454708810844
2019-07-01,71.2592750936854
2019-08-01,71.4136805097053
2019-09-01,71.708830654467
2019-10-01,71.706231759195
2019-11-01,71.6894436989656
2019-12-01,71.6998302164145
2020-01-01,71.7804129241513
2020-02-01,71.7966874862139
2020-03-01,70.5666044266169
2020-04-01,60.253578688702
2020-05-01,62.2315190938272
2020-06-01,64.769731007064
2020-07-01,65.3679090965278
2020-08-01,66.8405128860509
2020-09-01,66.9057750151426
2020-10-01,67.874414471491
2020-11-01,67.7898604975757
2020-12-01,67.9336173056224
2021-01-01,68.1999099478772
2021-02-01,68.4150634819117
2021-03-01,68.6002406094416
2021-04-01,68.6977329310454
2021-05-01,68.9699418121537
2021-06-01,69.1000488522905
2021-07-01,69.6571317115115
2021-08-01,69.6635947872175
2021-09-01,69.9249720526795
2021-10-01,70.1692301705208
2021-11-01,70.6085012375269
2021-12-01,70.8179753503604
2022-01-01,70.7640304546512
2022-02-01,70.9005280198747
2022-03-01,71.3159212087508
2022-04-01,71.2601375445941
2022-05-01,71.3770017347449
2022-06-01,71.2383836912931
2022-07-01,71.2938757970664
2022-08-01,71.4506607315196
2022-09-01,71.4133607311686
2022-10-01,71.2068776100649
