DATE,LREM25FEUSM156S
2013-01-01,68.8650684210437
2013-02-01,68.9719115506225
2013-03-01,68.9680830447461
2013-04-01,69.1034511338377
2013-05-01,69.3719386270723
2013-06-01,69.166630179734
2013-07-01,69.5244297365176
2013-08-01,69.6461913422954
2013-09-01,69.6803370042467
2013-10-01,69.0879788978096
2013-11-01,69.2531380954406
2013-12-01,69.398484536972
2014-01-01,69.8281494184147
2014-02-01,70.0262221923192
2014-03-01,69.7973705645044
2014-04-01,69.8914459492576
2014-05-01,69.8794712723391
2014-06-01,70.1355764766608
2014-07-01,69.8226546384725
2014-08-01,70.1314601079792
2014-09-01,69.9252522535004
2014-10-01,70.1332249323419
2014-11-01,70.2020640178863
2014-12-01,70.1518526925139
2015-01-01,70.2010590280637
2015-02-01,70.2559571139709
2015-03-01,69.9724361143929
2015-04-01,70.2066028141506
2015-05-01,70.4772968316164
2015-06-01,70.4431260030285
2015-07-01,70.1736374084884
2015-08-01,70.3037769211553
2015-09-01,70.2608906341116
2015-10-01,70.3434346384367
2015-11-01,70.6656914951651
2015-12-01,70.5602180087045
2016-01-01,70.750585560175
2016-02-01,70.822474884745
2016-03-01,70.9304094828411
2016-04-01,70.8797502195939
2016-05-01,71.0348341113044
2016-06-01,70.8769035006324
2016-07-01,71.3944907833148
2016-08-01,71.1718168454582
2016-09-01,71.446822811123
2016-10-01,71.5255434021894
2016-11-01,71.4052382224206
2016-12-01,71.3458460458386
2017-01-01,71.2862689542142
2017-02-01,71.6351821138048
2017-03-01,71.993440524553
2017-04-01,72.0099068078588
2017-05-01,71.9060778207952
2017-06-01,72.010036039293
2017-07-01,72.3881429439762
2017-08-01,72.12753713279
2017-09-01,72.5923974074499
2017-10-01,72.1677916416198
2017-11-01,72.5244415370156
2017-12-01,72.2047460492596
2018-01-01,72.0905075182316
2018-02-01,72.3233871469418
2018-03-01,72.4124108944743
2018-04-01,72.2822390924116
2018-05-01,72.471433253561
2018-06-01,72.6842860996797
2018-07-01,73.0644153172906
2018-08-01,72.9122434804155
2018-09-01,73.1407389569915
2018-10-01,73.4066367094955
2018-11-01,73.1542200723237
2018-12-01,73.259649325965
2019-01-01,73.280451167245
2019-02-01,73.3246840055812
2019-03-01,73.0881010249864
2019-04-01,73.2058776498389
2019-05-01,73.3118845544049
2019-06-01,73.3868380314289
2019-07-01,73.1071230986792
2019-08-01,74.0038583321997
2019-09-01,74.3104619410337
2019-10-01,74.3701096185855
2019-11-01,74.182752930885
2019-12-01,74.4712558990944
2020-01-01,74.6143327128691
2020-02-01,74.600294245176
2020-03-01,73.3700344979856
2020-04-01,63.4252232587081
2020-05-01,64.9027115305462
2020-06-01,67.5389618942757
2020-07-01,67.978042061602
2020-08-01,69.2541308581174
2020-09-01,69.0583575451328
2020-10-01,70.1155154997534
2020-11-01,70.2617680472652
2020-12-01,70.4272595308874
2021-01-01,70.3991159877292
2021-02-01,70.6379117625604
2021-03-01,71.1192362248157
2021-04-01,71.1243989998963
2021-05-01,71.2931917511638
2021-06-01,71.2348152457187
2021-07-01,71.923310627422
2021-08-01,72.0614820541917
2021-09-01,72.1931055431271
2021-10-01,72.2582617210314
2021-11-01,72.9534285580993
2021-12-01,73.3068642910134
2022-01-01,73.3465981469816
2022-02-01,73.1981632306672
2022-03-01,74.1447302967577
2022-04-01,73.962879565286
2022-05-01,74.0733980816777
2022-06-01,73.7921486132191
2022-07-01,74.0620137759866
2022-08-01,74.7831484009497
2022-09-01,74.5108276110082
2022-10-01,74.0681135326284
