DATE,LREM25MAUSM156S
2013-01-01,82.5833815340588
2013-02-01,82.7471929685806
2013-03-01,82.6659801855286
2013-04-01,82.7434651879486
2013-05-01,83.055080968427
2013-06-01,82.8920591100036
2013-07-01,82.9516940166335
2013-08-01,82.6258347827343
2013-09-01,82.6293297204023
2013-10-01,82.4022868499712
2013-11-01,82.9799784237624
2013-12-01,83.1123366276448
2014-01-01,83.1700144893625
2014-02-01,82.9553660828396
2014-03-01,83.3507602379218
2014-04-01,83.1994210934559
2014-05-01,83.3679702930811
2014-06-01,83.7843074968655
2014-07-01,83.9380668787285
2014-08-01,83.9378591676526
2014-09-01,84.1214925733865
2014-10-01,84.0020280640487
2014-11-01,83.8598085685862
2014-12-01,84.1843609980571
2015-01-01,84.2070151802835
2015-02-01,84.2485419924626
2015-03-01,84.4029136830782
2015-04-01,84.4107996822322
2015-05-01,84.3401962707971
2015-06-01,84.4885083541182
2015-07-01,84.4356177135612
2015-08-01,84.6466739346998
2015-09-01,84.6464745237164
2015-10-01,84.3671134897324
2015-11-01,84.3646965695058
2015-12-01,84.5032507410462
2016-01-01,84.9041148437548
2016-02-01,84.9495035206811
2016-03-01,85.1537560939572
2016-04-01,84.7978867075342
2016-05-01,84.9822577290729
2016-06-01,85.0939396982847
2016-07-01,84.8837867887527
2016-08-01,84.8345306032216
2016-09-01,84.9048156163444
2016-10-01,84.9609592750844
2016-11-01,84.9685595385796
2016-12-01,85.0913208664895
2017-01-01,85.2410323012807
2017-02-01,85.1410805957553
2017-03-01,85.154051047494
2017-04-01,85.3991932189982
2017-05-01,85.3127234244291
2017-06-01,85.3475115137992
2017-07-01,85.2895057532748
2017-08-01,84.9592132779442
2017-09-01,85.6762157509274
2017-10-01,85.613189987731
2017-11-01,85.627936961368
2017-12-01,86.0210718324246
2018-01-01,85.8963935467998
2018-02-01,86.3558009582361
2018-03-01,86.2088669068338
2018-04-01,86.2550336232508
2018-05-01,86.3610092807131
2018-06-01,86.1224542434116
2018-07-01,86.2407458812678
2018-08-01,85.9353799290042
2018-09-01,85.9865836780088
2018-10-01,86.1284642337505
2018-11-01,86.3460658782397
2018-12-01,86.0827526075859
2019-01-01,86.4099784889681
2019-02-01,86.4987644194744
2019-03-01,86.7332439218221
2019-04-01,86.4384257402983
2019-05-01,86.3188003446209
2019-06-01,86.1440317880122
2019-07-01,86.1971643893997
2019-08-01,86.189903392049
2019-09-01,86.4601216219809
2019-10-01,86.465012648778
2019-11-01,86.7214991555424
2019-12-01,86.5180775210761
2020-01-01,86.5802293105438
2020-02-01,86.4286237291661
2020-03-01,85.8145504196846
2020-04-01,75.9362964080867
2020-05-01,77.9189606160096
2020-06-01,79.514880593866
2020-07-01,79.8217893582613
2020-08-01,81.4280091780516
2020-09-01,81.5102564687636
2020-10-01,82.1151498596013
2020-11-01,81.96798218895
2020-12-01,82.349130678774
2021-01-01,82.603550448653
2021-02-01,82.7198482000034
2021-03-01,82.8041359869863
2021-04-01,82.8965932178754
2021-05-01,82.9570109558201
2021-06-01,83.0793258682756
2021-07-01,83.8698877104514
2021-08-01,83.9599887936816
2021-09-01,84.1509679228624
2021-10-01,84.6420407321732
2021-11-01,84.9938892201971
2021-12-01,85.0982727606738
2022-01-01,85.0269508311063
2022-02-01,85.8488081290092
2022-03-01,85.9828934862014
2022-04-01,85.9656720786808
2022-05-01,86.0044330575324
2022-06-01,85.7911326392086
2022-07-01,85.8551337584618
2022-08-01,85.8197417275388
2022-09-01,86.1451370440596
2022-10-01,85.7874622812115
