DATE,LES1252882700Q
2013-01-01,699
2013-04-01,706
2013-07-01,705
2013-10-01,712
2014-01-01,716
2014-04-01,715
2014-07-01,721
2014-10-01,724
2015-01-01,725
2015-04-01,725
2015-07-01,727
2015-10-01,729
2016-01-01,744
2016-04-01,746
2016-07-01,748
2016-10-01,759
2017-01-01,760
2017-04-01,782
2017-07-01,769
2017-10-01,770
2018-01-01,778
2018-04-01,783
2018-07-01,796
2018-10-01,795
2019-01-01,803
2019-04-01,818
2019-07-01,825
2019-10-01,842
2020-01-01,853
2020-04-01,919
2020-07-01,901
2020-10-01,894
2021-01-01,897
2021-04-01,905
2021-07-01,915
2021-10-01,928
2022-01-01,937
2022-04-01,949
2022-07-01,968
