DATE,OFHHMH
2013-01-01,6229
2014-01-01,6304
2015-01-01,6162
2016-01-01,6310
2017-01-01,6452
2018-01-01,6424
2019-01-01,6480.0
2020-01-01,6503.0
2021-01-01,6963.0
2022-01-01,7212.0
